SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY
AEROENTER,10744206336.0,SMALL CAP,95.01000213623047,16.727114,1.3024526,0.09559,4.218,0.16246,0.08845,0.16,0.293,Misc,Basic Materials,Steel,2026-06-02,Steel,0,1,0,64.41,74.35,27.17,75.06,69.38,61.51,MODERATE GROWTH
OSWALGREEN,6119761920.0,MICRO CAP,23.829999923706055,26.454715,0.24819039,-0.025559999,0.184,0.51776004,-0.59168,1.036,0.171,Financials,Financial Services,Asset Management,2026-06-02,Asset Management Companies,0,1,0,95.46,50.02,4.62,95.46,72.74,61.39,MODERATE GROWTH
KRONOX,4920361472.0,MICRO CAP,132.61000061035156,18.418056,4.191744,0.26824,1.384,0.33914003,0.27327,-0.0,0.267,Chemicals,Basic Materials,Specialty Chemicals,2026-06-02,Specialty Chemicals,0,0,1,22.63,72.77,94.21,91.11,47.699999999999996,61.34,MODERATE GROWTH
STARCEMENT,85516492800.0,SMALL CAP,211.5800018310547,21.74512,2.6828125,0.12871,18.924,0.18438,0.10418,0.119,0.202,Misc,Basic Materials,Building Materials,2026-06-02,Building Materials,0,1,0,41.66,69.21,73.14,78.47,55.434999999999995,61.28,MODERATE GROWTH
ARVSMART,26912450560.0,SMALL CAP,586.75,27.9938,3.9717996,0.121350005,65.077,0.37097,0.17097999,-0.047,1.307,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,0,0,17.54,90.49,70.99,92.25,54.015,61.23,MODERATE GROWTH
ADANIPORTS,4107498160128.0,MEGA CAP,1782.800048828125,30.663916,4.272728,0.15592,64.051,0.41182,0.33060002,0.265,0.036,Misc,Industrials,Marine Shipping,2026-06-02,Marine Shipping,0,0,0,76.78,25.1,80.93,93.62,50.94,61.21,MODERATE GROWTH
BANCOINDIA,92766838784.0,SMALL CAP,648.5499877929688,20.178905,5.676189,0.3225,36.44,0.16356,0.120570004,0.276,-0.062,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,0,0,77.98,20.03,96.75,75.25,49.005,61.18,MODERATE GROWTH
NRBBEARING,34591674368.0,SMALL CAP,356.8999938964844,24.905792,3.595535,0.15174,15.653,0.13627,0.106920004,0.13,0.171,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,1,0,59.51,50.02,80.07,68.29,54.765,61.18,MODERATE GROWTH
IRIS,5425903616.0,MICRO CAP,263.79998779296875,38.62372,2.6992733,0.10232,0.824,0.12312999,0.8953306140999984,0.13,0.473,Technology,Technology,Software - Application,2026-06-02,SaaS,0,1,0,59.51,79.87,29.56,64.57,69.69,61.15,MODERATE GROWTH
BANKINDIA,614610108416.0,LARGE CAP,135.0,5.677039,0.68339205,0.12056,29.595,0.44996,0.31886,0.101,0.186,Financials,Financial Services,Banks - Regional,2026-06-02,Private Sector Banks,0,1,0,38.94,68.32,70.63,94.6,53.629999999999995,61.13,MODERATE GROWTH
SWANCORP,98017976320.0,SMALL CAP,312.70001220703125,36.19213,0.84885406,0.029949998,22.877,0.22915001,0.0533,0.763,0.171,Misc,Industrials,Conglomerates,2026-06-02,Conglomerates,0,1,0,93.66,50.02,12.14,84.03,71.84,61.12,MODERATE GROWTH
GENUSPAPER,3136936448.0,MICRO CAP,12.199999809265137,33.888885,0.6227985,0.11156999,84.844,0.053979997,0.00976,0.115,4.5,Misc,Basic Materials,Paper & Paper Products,2026-06-02,Paper & Paper Products,0,1,0,41.05,96.87,50.02,28.15,68.96000000000001,61.09,MODERATE GROWTH
EICHERMOT,1944540545024.0,LARGE CAP,7084.0,35.254303,7.7418222,0.23774,2.048,0.21086,0.23562,0.191,0.115,Automobiles,Consumer Cyclical,Auto Manufacturers,2026-06-02,Passenger Vehicles,0,1,0,68.74,29.39,92.56,82.34,49.065,61.09,MODERATE GROWTH
HINDUNILVR,4880570777600.0,MEGA CAP,2077.199951171875,45.92527,10.016926,0.21603,3.016,0.21363,0.23329,0.043,0.214,Consumer,Consumer Defensive,Household & Personal Products,2026-06-02,FMCG – Personal Care,0,0,1,28.41,70.07,90.92,82.58,49.239999999999995,60.91,MODERATE GROWTH
FACT,554540728320.0,LARGE CAP,858.25,26.454715,40.325615,0.11156999,278.992,-0.03282,0.07694,0.651,0.171,Chemicals,Basic Materials,Agricultural Inputs,2026-06-02,Agrochemicals,0,1,0,92.17,50.02,50.02,10.14,71.095,60.78,MODERATE GROWTH
SADBHIN,1039064384.0,MICRO CAP,2.950000047683716,26.454715,-0.19681099,0.11156999,29.595,0.56031,-0.2235,0.182,0.171,Industrials,Industrials,Engineering & Construction,2026-06-02,Engineering & EPC,0,1,0,67.5,50.02,50.02,96.01,58.760000000000005,60.74,MODERATE GROWTH
WINSOME,181802112.0,MICRO CAP,2.490000009536743,26.454715,-0.040269107,0.11156999,29.595,-4.753069109,0.0,0.878,0.171,Misc,Consumer Cyclical,Textile Manufacturing,2026-06-02,Textile Manufacturing,0,1,0,94.71,50.02,50.02,0.53,72.365,60.71,MODERATE GROWTH
UPL,542207541248.0,LARGE CAP,641.4500122070312,28.72593,1.5605006,0.05614,57.128,0.14899999,0.03708,0.177,0.332,Chemicals,Basic Materials,Agricultural Inputs,2026-06-02,Agrochemicals,0,1,0,66.76,75.94,17.7,72.2,71.35,60.7,MODERATE GROWTH
RKFORGE,102242050048.0,MID CAP,563.4000244140625,140.14926,3.0997262,0.02269,74.422,0.098409995,0.01694,0.285,0.244,Misc,Industrials,Metal Fabrication,2026-06-02,Metal Fabrication,0,1,0,78.8,71.61,10.92,57.13,75.205,60.54,MODERATE GROWTH
TPLPLASTEH,5528852480.0,MICRO CAP,70.87999725341797,19.00268,3.6257608,0.18370001,11.202,0.09968001,0.0688,0.237,0.17,Misc,Consumer Cyclical,Packaging & Containers,2026-06-02,Packaging & Containers,0,1,0,74.53,32.48,86.45,57.67,53.504999999999995,60.51,MODERATE GROWTH
EASTSILK,270049984.0,MICRO CAP,54.0099983215332,659.2893770999999,0.43041342,0.11156999,102.786,-0.051459998,0.13909,0.615,0.171,Misc,Consumer Cyclical,Textile Manufacturing,2026-06-02,Textile Manufacturing,0,1,0,91.46,50.02,50.02,9.48,70.74,60.47,MODERATE GROWTH
ASHIANA,36761939968.0,SMALL CAP,365.70001220703125,30.500418,4.0577426,0.14524001,37.597,0.08748,0.09928001,0.524,0.068,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,0,0,89.35,26.9,78.27,40.99,58.125,60.44,MODERATE GROWTH
COALINDIA,2890011508736.0,MEGA CAP,468.95001220703125,9.291658,2.4262729,0.28124002,11.629,0.20922,0.18465,0.162,0.129,Metals,Energy,Thermal Coal,2026-06-02,Coal,0,1,1,64.68,30.23,94.91,82.15,47.455000000000005,60.42,MODERATE GROWTH
FINPIPE,108161646592.0,MID CAP,174.92999267578125,18.07128,1.8275748,0.09731,7.171,0.23275,0.14563,0.121,0.59,Misc,Industrials,Building Products & Equipment,2026-06-02,Building Products & Equipment,0,1,0,50.1,82.62,27.6,84.46,66.36,60.42,MODERATE GROWTH
